customer_id,customer_name,email,phone
cid-001,Customer_1,customer1@example.com,+12345678901
cid-002,Customer_2,customer2@example.com,+12345678902
cid-003,Customer_3,customer3@example.com,+12345678903
cid-004,Customer_4,customer4@example.com,+12345678904
cid-005,Customer_5,customer5@example.com,+12345678905
cid-006,Customer_6,customer6@example.com,+12345678906
cid-007,Customer_7,customer7@example.com,+12345678907
cid-008,Customer_8,customer8@example.com,+12345678908
cid-009,Customer_9,customer9@example.com,+12345678909
cid-010,Customer_10,customer10@example.com,+12345678910
cid-011,Customer_11,customer11@example.com,+12345678911
cid-012,Customer_12,customer12@example.com,+12345678912
cid-013,Customer_13,customer13@example.com,+12345678913
cid-014,Customer_14,customer14@example.com,+12345678914
cid-015,Customer_15,customer15@example.com,+12345678915
cid-016,Customer_16,customer16@example.com,+12345678916
cid-017,Customer_17,customer17@example.com,+12345678917
cid-018,Customer_18,customer18@example.com,+12345678918
cid-019,Customer_19,customer19@example.com,+12345678919
cid-020,Customer_20,customer20@example.com,+12345678920
